,word,char0,char1,char2,char3,char4,score
1085,focus,f,o,c,u,s,0.38482490272373515
2009,pound,p,o,u,n,d,0.38482490272373515
673,dance,d,a,n,c,e,0.3848249027237351
2143,reach,r,e,a,c,h,0.38404669260700364
290,birth,b,i,r,t,h,0.3836575875486379
2345,seize,s,e,i,z,e,0.3828793774319063
671,daily,d,a,i,l,y,0.3824902723735406
2387,shine,s,h,i,n,e,0.38210116731517485
637,crash,c,r,a,s,h,0.38132295719844334
2362,serve,s,e,r,v,e,0.3813229571984433
2642,taste,t,a,s,t,e,0.3809338521400775
1510,learn,l,e,a,r,n,0.3805447470817117
1609,marry,m,a,r,r,y,0.37976653696498025
2393,shoot,s,h,o,o,t,0.3793774319066145
2470,solve,s,o,l,v,e,0.3789883268482487
2923,wheel,w,h,e,e,l,0.37859922178988303
1106,found,f,o,u,n,d,0.3782101167315173
1195,grand,g,r,a,n,d,0.37743190661478565
341,bring,b,r,i,n,g,0.3770428015564199
1287,honor,h,o,n,o,r,0.37665369649805425
1125,front,f,r,o,n,t,0.3754863813229569
2528,state,s,t,a,t,e,0.3750972762645912
271,bench,b,e,n,c,h,0.3750972762645911
1899,patch,p,a,t,c,h,0.3743190661478597
326,brain,b,r,a,i,n,0.3743190661478596
403,cause,c,a,u,s,e,0.37354085603112813
2279,round,r,o,u,n,d,0.3723735408560309
2779,trial,t,r,i,a,l,0.3723735408560308
1066,first,f,i,r,s,t,0.3719844357976652
364,buyer,b,u,y,e,r,0.3715953307392994
1093,force,f,o,r,c,e,0.3712062256809336
417,chair,c,h,a,i,r,0.3712062256809336
2443,slice,s,l,i,c,e,0.3712062256809336
298,blind,b,l,i,n,d,0.37120622568093353
2871,virus,v,i,r,u,s,0.3708171206225679
639,cream,c,r,e,a,m,0.37042801556420213
1766,north,n,o,r,t,h,0.37003891050583626
636,craft,c,r,a,f,t,0.3700389105058362
2562,strip,s,t,r,i,p,0.3696498054474707
2764,train,t,r,a,i,n,0.3696498054474705
1614,match,m,a,t,c,h,0.36926070038910486
1055,final,f,i,n,a,l,0.36848249027237345
2773,treat,t,r,e,a,t,0.367315175097276
1693,motor,m,o,t,o,r,0.3669260700389103
1013,false,f,a,l,s,e,0.365758754863813
2526,stare,s,t,a,r,e,0.3645914396887157
343,broad,b,r,o,a,d,0.36459143968871566
2374,shade,s,h,a,d,e,0.3642023346303499
1493,latin,l,a,t,i,n,0.3638132295719842
368,cable,c,a,b,l,e,0.3638132295719842
1220,habit,h,a,b,i,t,0.3638132295719842
619,couch,c,o,u,c,h,0.3634241245136184
366,cabin,c,a,b,i,n,0.3634241245136184
2450,small,s,m,a,l,l,0.36303501945525274
2383,shelf,s,h,e,l,f,0.36264591439688704
2778,trend,t,r,e,n,d,0.3622568093385211
1175,given,g,i,v,e,n,0.3618677042801554
2444,slide,s,l,i,d,e,0.36108949416342384
635,crack,c,r,a,c,k,0.3610894941634238
2978,wound,w,o,u,n,d,0.3607003891050581
1958,plane,p,l,a,n,e,0.36031128404669244
1951,pilot,p,i,l,o,t,0.3603112840466924
1697,mouth,m,o,u,t,h,0.3599221789883266
1838,order,o,r,d,e,r,0.35992217898832657
2141,ratio,r,a,t,i,o,0.3595330739299609
2756,trace,t,r,a,c,e,0.35875486381322924
2539,still,s,t,i,l,l,0.35836575875486365
1659,minor,m,i,n,o,r,0.3579766536964979
1647,metal,m,e,t,a,l,0.3579766536964978
2132,range,r,a,n,g,e,0.35758754863813214
1488,large,l,a,r,g,e,0.3575875486381321
1563,loose,l,o,o,s,e,0.35758754863813197
2376,shake,s,h,a,k,e,0.3571984435797663
2134,rapid,r,a,p,i,d,0.35719844357976627
269,below,b,e,l,o,w,0.3571984435797662
2783,troop,t,r,o,o,p,0.3568093385214005
2510,sport,s,p,o,r,t,0.35680933852140045
2384,shell,s,h,e,l,l,0.35564202334630335
2441,slave,s,l,a,v,e,0.3548638132295717
329,bread,b,r,e,a,d,0.3548638132295717
1963,plate,p,l,a,t,e,0.3540856031128402
1291,horse,h,o,r,s,e,0.3536964980544745
184,asset,a,s,s,e,t,0.3536964980544744
2050,prior,p,r,i,o,r,0.3533073929961087
2861,video,v,i,d,e,o,0.35291828793774305
2547,storm,s,t,o,r,m,0.35291828793774294
80,agree,a,g,r,e,e,0.3517509727626457
1903,pause,p,a,u,s,e,0.35136186770427996
836,early,e,a,r,l,y,0.35136186770427996
472,climb,c,l,i,m,b,0.3513618677042798
1044,field,f,i,e,l,d,0.3505836575875485
2403,shout,s,h,o,u,t,0.35058365758754834
2898,watch,w,a,t,c,h,0.35019455252918263
2623,swing,s,w,i,n,g,0.3501945525291826
2897,waste,w,a,s,t,e,0.3498054474708168
2311,scale,s,c,a,l,e,0.34941634241245123
2397,shore,s,h,o,r,e,0.34941634241245106
350,build,b,u,i,l,d,0.34902723735408536
1039,fence,f,e,n,c,e,0.3490272373540853
2628,table,t,a,b,l,e,0.3486381322957196
2758,trade,t,r,a,d,e,0.3486381322957195
816,drama,d,r,a,m,a,0.34824902723735385
2746,touch,t,o,u,c,h,0.34824902723735385
2386,shift,s,h,i,f,t,0.34824902723735374
1759,noise,n,o,i,s,e,0.34785992217898803
1213,guess,g,u,e,s,s,0.3474708171206224
1379,inner,i,n,n,e,r,0.3474708171206223
2878,voice,v,o,i,c,e,0.34747081712062217
1028,favor,f,a,v,o,r,0.3466926070038909
2503,spend,s,p,e,n,d,0.3466926070038908
2411,sight,s,i,g,h,t,0.34591439688715925
2757,track,t,r,a,c,k,0.34591439688715925
2508,split,s,p,l,i,t,0.34513618677042773
2378,shape,s,h,a,p,e,0.34474708171206203
2280,route,r,o,u,t,e,0.34474708171206203
416,chain,c,h,a,i,n,0.3443579766536962
444,child,c,h,i,l,d,0.3439688715953304
1630,media,m,e,d,i,a,0.34357976653696476
2543,stone,s,t,o,n,e,0.34319066147859906
2077,proof,p,r,o,o,f,0.34319066147859906
1556,local,l,o,c,a,l,0.343190661478599
2492,space,s,p,a,c,e,0.34319066147859895
2975,worry,w,o,r,r,y,0.34241245136186743
2977,would,w,o,u,l,d,0.34202334630350173
1080,float,f,l,o,a,t,0.3420233463035017
468,clear,c,l,e,a,r,0.34163424124513597
2149,ready,r,e,a,d,y,0.34163424124513586
1479,labor,l,a,b,o,r,0.3404669260700387
2535,steal,s,t,e,a,l,0.33929961089494154
1620,mayor,m,a,y,o,r,0.3392996108949415
70,after,a,f,t,e,r,0.33891050583657567
225,badly,b,a,d,l,y,0.33891050583657567
821,dream,d,r,e,a,m,0.33813229571984416
2589,sugar,s,u,g,a,r,0.3377431906614784
814,draft,d,r,a,f,t,0.33774319066147823
1194,grain,g,r,a,i,n,0.33696498054474683
823,drink,d,r,i,n,k,0.33657587548638107
1514,leave,l,e,a,v,e,0.336575875486381
1863,owner,o,w,n,e,r,0.33618677042801526
1212,guard,g,u,a,r,d,0.3357976653696495
2682,thank,t,h,a,n,k,0.33540856031128385
435,cheap,c,h,e,a,p,0.3350194552529181
1202,great,g,r,e,a,t,0.3346303501945523
2521,stake,s,t,a,k,e,0.33424124513618664
2438,skill,s,k,i,l,l,0.3342412451361865
2518,staff,s,t,a,f,f,0.3338521400778208
2128,radio,r,a,d,i,o,0.3334630350194551
119,anger,a,n,g,e,r,0.33346303501945496
434,chase,c,h,a,s,e,0.33307392996108925
461,civil,c,i,v,i,l,0.3326848249027235
909,enter,e,n,t,e,r,0.3322957198443577
295,blade,b,l,a,d,e,0.3319066147859919
2700,thing,t,h,i,n,g,0.33190661478599187
2703,third,t,h,i,r,d,0.33073929961089454
1956,place,p,l,a,c,e,0.33035019455252895
300,blood,b,l,o,o,d,0.32996108949416314
769,dirty,d,i,r,t,y,0.3295719844357974
646,crime,c,r,i,m,e,0.3295719844357973
2041,price,p,r,i,c,e,0.3295719844357973
2727,title,t,i,t,l,e,0.32918287937743174
294,black,b,l,a,c,k,0.3291828793774317
137,apart,a,p,a,r,t,0.32918287937743157
2980,write,w,r,i,t,e,0.3291828793774315
1587,major,m,a,j,o,r,0.328793774319066
335,brick,b,r,i,c,k,0.32840466926070006
1540,limit,l,i,m,i,t,0.3280155642023344
1696,mouse,m,o,u,s,e,0.3280155642023344
810,doubt,d,o,u,b,t,0.3272373540856028
2519,stage,s,t,a,g,e,0.32645914396887143
2546,store,s,t,o,r,e,0.3264591439688714
160,arise,a,r,i,s,e,0.3264591439688714
1126,fruit,f,r,u,i,t,0.3260700389105056
2619,swear,s,w,e,a,r,0.3256809338521399
102,along,a,l,o,n,g,0.3252918287937741
2913,weigh,w,e,i,g,h,0.32529182879377405
2983,wrong,w,r,o,n,g,0.325291828793774
1700,movie,m,o,v,i,e,0.3249027237354083
1949,piece,p,i,e,c,e,0.3245136186770426
2406,shrug,s,h,r,u,g,0.3241245136186768
441,chest,c,h,e,s,t,0.323735408560311
2781,trick,t,r,i,c,k,0.32373540856031097
2747,tough,t,o,u,g,h,0.3233463035019453
2391,shock,s,h,o,c,k,0.3233463035019452
1111,frame,f,r,a,m,e,0.3229571984435795
2453,smile,s,m,i,l,e,0.3229571984435795
2730,today,t,o,d,a,y,0.3225680933852138
260,begin,b,e,g,i,n,0.32217898832684794
1518,legal,l,e,g,a,l,0.32178988326848224
1495,laugh,l,a,u,g,h,0.3210116731517508
330,break,b,r,e,a,k,0.320622568093385
2788,trust,t,r,u,s,t,0.3206225680933849
2315,scene,s,c,e,n,e,0.3202334630350193
296,blame,b,l,a,m,e,0.31984435797665345
101,alone,a,l,o,n,e,0.31945525291828775
2042,pride,p,r,i,d,e,0.31945525291828764
1955,pitch,p,i,t,c,h,0.3186770428015562
2287,rural,r,u,r,a,l,0.31828793774319053
710,delay,d,e,l,a,y,0.31673151750972733
2538,stick,s,t,i,c,k,0.3163424124513617
1709,music,m,u,s,i,c,0.31634241245136163
1191,grade,g,r,a,d,e,0.3159533073929958
2452,smell,s,m,e,l,l,0.3151750972762644
656,crowd,c,r,o,w,d,0.31517509727626425
467,clean,c,l,e,a,n,0.3147859922178986
2789,truth,t,r,u,t,h,0.31400778210116703
476,close,c,l,o,s,e,0.31400778210116703
2994,young,y,o,u,n,g,0.3132295719844356
353,bunch,b,u,n,c,h,0.3132295719844356
2325,score,s,c,o,r,e,0.3132295719844355
2701,think,t,h,i,n,k,0.3132295719844355
923,error,e,r,r,o,r,0.3120622568093383
2874,visit,v,i,s,i,t,0.3116731517509725
726,depth,d,e,p,t,h,0.31167315175097243
481,cloud,c,l,o,u,d,0.31167315175097243
2198,relax,r,e,l,a,x,0.3112840466926067
1934,phase,p,h,a,s,e,0.310894941634241
2091,proud,p,r,o,u,d,0.3108949416342409
1081,floor,f,l,o,o,r,0.309338521400778
1297,house,h,o,u,s,e,0.309338521400778
2998,youth,y,o,u,t,h,0.3089494163424122
2843,value,v,a,l,u,e,0.30856031128404643
2687,their,t,h,e,i,r,0.30817120622568067
2962,woman,w,o,m,a,n,0.3077821011673149
1253,hello,h,e,l,l,o,0.3077821011673149
2046,prime,p,r,i,m,e,0.30739299610894916
2877,vital,v,i,t,a,l,0.3066147859922177
216,award,a,w,a,r,d,0.3054474708171203
1120,fresh,f,r,e,s,h,0.3046692607003889
2277,rough,r,o,u,g,h,0.3038910505836574
1937,phone,p,h,o,n,e,0.3031128404669258
638,crazy,c,r,a,z,y,0.30272373540855996
2548,story,s,t,o,r,y,0.30194552529182855
1248,heavy,h,e,a,v,y,0.3019455252918285
2780,tribe,t,r,i,b,e,0.30194552529182844
1074,flame,f,l,a,m,e,0.3015564202334628
475,clock,c,l,o,c,k,0.3015564202334627
2992,yield,y,i,e,l,d,0.3011673151750971
2494,speak,s,p,e,a,k,0.30038910505836564
2541,stock,s,t,o,c,k,0.3003891050583655
875,elite,e,l,i,t,e,0.3003891050583654
84,ahead,a,h,e,a,d,0.2999999999999998
2716,throw,t,h,r,o,w,0.29844357976653674
282,bible,b,i,b,l,e,0.2976653696498052
1207,group,g,r,o,u,p,0.2953307392996106
347,brush,b,r,u,s,h,0.2945525291828791
1137,funny,f,u,n,n,y,0.2926070038910504
1427,irish,i,r,i,s,h,0.29221789883268456
1214,guest,g,u,e,s,t,0.2914396887159531
299,block,b,l,o,c,k,0.29105058365758724
2720,tight,t,i,g,h,t,0.28988326848249
867,elect,e,l,e,c,t,0.28949416342412426
2932,white,w,h,i,t,e,0.2887159533073926
1577,lunch,l,u,n,c,h,0.28793774319066123
1200,grave,g,r,a,v,e,0.2875486381322954
2808,under,u,n,d,e,r,0.2859922178988325
1168,ghost,g,h,o,s,t,0.2856031128404666
1046,fifth,f,i,f,t,h,0.28482490272373523
98,allow,a,l,l,o,w,0.2844357976653694
1522,lemon,l,e,m,o,n,0.28404669260700366
217,aware,a,w,a,r,e,0.2840466926070036
2694,there,t,h,e,r,e,0.28365758754863785
1938,photo,p,h,o,t,o,0.2836575875486378
1078,flesh,f,l,e,s,h,0.2832684824902722
2698,thick,t,h,i,c,k,0.28326848249027203
77,agent,a,g,e,n,t,0.2828793774319064
1619,maybe,m,a,y,b,e,0.2809338521400776
824,drive,d,r,i,v,e,0.28093385214007743
2706,those,t,h,o,s,e,0.2797665369649802
1742,nerve,n,e,r,v,e,0.2789883268482487
2454,smoke,s,m,o,k,e,0.278599221789883
1652,might,m,i,g,h,t,0.27782101167315154
1048,fight,f,i,g,h,t,0.2762645914396885
39,adapt,a,d,a,p,t,0.2762645914396885
2930,while,w,h,i,l,e,0.2762645914396884
346,brown,b,r,o,w,n,0.27548638132295683
2092,prove,p,r,o,v,e,0.27509727626459113
2123,quite,q,u,i,t,e,0.2747081712062254
72,again,a,g,a,i,n,0.2731517509727624
436,check,c,h,e,c,k,0.27276264591439664
2929,which,w,h,i,c,h,0.2727626459143965
953,exact,e,x,a,c,t,0.2723735408560308
2262,right,r,i,g,h,t,0.27042801556420215
2324,scope,s,c,o,p,e,0.27042801556420215
2829,upper,u,p,p,e,r,0.2704280155642021
2696,these,t,h,e,s,e,0.2700389105058363
1808,often,o,f,t,e,n,0.2700389105058363
1847,other,o,t,h,e,r,0.2696498054474706
2785,truck,t,r,u,c,k,0.2696498054474705
2787,truly,t,r,u,l,y,0.2692607003891048
1537,light,l,i,g,h,t,0.2692607003891048
1215,guide,g,u,i,d,e,0.268871595330739
95,alive,a,l,i,v,e,0.2669260700389102
112,among,a,m,o,n,g,0.265758754863813
215,avoid,a,v,o,i,d,0.2653696498054472
2215,reply,r,e,p,l,y,0.26459143968871573
2934,whole,w,h,o,l,e,0.2603112840466923
1454,juice,j,u,i,c,e,0.2603112840466923
175,asian,a,s,i,a,n,0.2595330739299608
2261,rifle,r,i,f,l,e,0.25875486381322943
2124,quote,q,u,o,t,e,0.2587548638132293
2797,twice,t,w,i,c,e,0.2583657587548634
2571,stuff,s,t,u,f,f,0.25758754863813216
2573,style,s,t,y,l,e,0.2552529182879376
941,event,e,v,e,n,t,0.2552529182879375
1781,nurse,n,u,r,s,e,0.2552529182879375
1047,fifty,f,i,f,t,y,0.2525291828793772
2926,where,w,h,e,r,e,0.2525291828793771
1230,happy,h,a,p,p,y,0.2517509727626457
1130,fully,f,u,l,l,y,0.2517509727626457
864,eight,e,i,g,h,t,0.25136186770427993
968,exist,e,x,i,s,t,0.24980544747081682
2936,whose,w,h,o,s,e,0.24863813229571946
2689,theme,t,h,e,m,e,0.2482490272373538
1361,index,i,n,d,e,x,0.246303501945525
1804,offer,o,f,f,e,r,0.2459143968871593
1426,iraqi,i,r,a,q,i,0.2439688715953304
1754,night,n,i,g,h,t,0.24357976653696473
54,adult,a,d,u,l,t,0.2408560311284045
2570,study,s,t,u,d,y,0.24046692607003872
5,about,a,b,o,u,t,0.2396887159533071
176,aside,a,s,i,d,e,0.23929961089494128
1304,humor,h,u,m,o,r,0.23891050583657572
2118,quick,q,u,i,c,k,0.23813229571984412
53,adopt,a,d,o,p,t,0.23813229571984412
51,admit,a,d,m,i,t,0.23657587548638112
158,argue,a,r,g,u,e,0.2357976653696495
34,actor,a,c,t,o,r,0.23463035019455242
93,album,a,l,b,u,m,0.23229571984435773
1180,glove,g,l,o,v,e,0.22801556420233432
1749,newly,n,e,w,l,y,0.22607003891050562
1303,human,h,u,m,a,n,0.22529182879377413
669,cycle,c,y,c,l,e,0.22140077821011647
1819,onion,o,n,i,o,n,0.2147859922178985
994,extra,e,x,t,r,a,0.2143968871595328
1315,ideal,i,d,e,a,l,0.2132295719844356
2830,urban,u,r,b,a,n,0.21245136186770402
2825,until,u,n,t,i,l,0.2081712062256807
2814,union,u,n,i,o,n,0.20778210116731488
120,angle,a,n,g,l,e,0.2042801556420231
1326,image,i,m,a,g,e,0.20116731517509698
1797,ocean,o,c,e,a,n,0.1926070038910504
1850,ought,o,u,g,h,t,0.19260700389105032
919,equal,e,q,u,a,l,0.1906614785992216
144,apple,a,p,p,l,e,0.19027237354085577
1474,knock,k,n,o,c,k,0.1894941634241242
12,abuse,a,b,u,s,e,0.18677042801556398
6,above,a,b,o,v,e,0.1867704280155639
1576,lucky,l,u,c,k,y,0.18287937743190638
2837,usual,u,s,u,a,l,0.1821011673151749
121,angry,a,n,g,r,y,0.181712062256809
915,entry,e,n,t,r,y,0.1805447470817117
1473,knife,k,n,i,f,e,0.1758754863813226
944,every,e,v,e,r,y,0.1754863813229569
1452,judge,j,u,d,g,e,0.1700389105058364
146,apply,a,p,p,l,y,0.16575875486381297
896,enemy,e,n,e,m,y,0.15875486381322929
926,essay,e,s,s,a,y,0.1583657587548635
2807,uncle,u,n,c,l,e,0.15564202334630328
220,awful,a,w,f,u,l,0.1521400778210114
891,empty,e,m,p,t,y,0.14007782101167277
1796,occur,o,c,c,u,r,0.13657587548638112
1432,issue,i,s,s,u,e,0.1276264591439685
905,enjoy,e,n,j,o,y,0.1155642023346301
1336,imply,i,m,p,l,y,0.1143968871595328
